filename,condition,itemnumber,topic,trial,correct,targetword,group
glen_subj_1_H_61.wav,H,61,schule,critical,J,Lehrer,1
glen_subj_1_H_62.wav,H,62,kirche,critical,J,Prediger,1
glen_subj_1_H_63.wav,H,63,schule,critical,J,Mädchen,1
glen_subj_1_H_64.wav,H,64,film,critical,J,Kabelträger,1
glen_subj_1_H_65.wav,H,65,film,critical,J,Produzent,1
glen_subj_1_LH_66.wav,LH,66,bau,critical,J,Ingenieur,1
glen_subj_1_LH_67.wav,LH,67,musik,critical,J,Dirigent,1
glen_subj_1_LH_68.wav,LH,68,musik,critical,J,Schlagzeuger,1
glen_subj_1_LH_69.wav,LH,69,arzt,critical,J,Ärztin,1
glen_subj_1_LH_70.wav,LH,70,musik,critical,J,Sänger,1
glen_subj_1_nurH_76.wav,nurH,76,bau,critical,J,Schneider,1
glen_subj_1_nurH_77.wav,nurH,77,handwerk,critical,J,Kunde,1
glen_subj_1_nurH_78.wav,nurH,78,recht,critical,J,Anwalt,1
glen_subj_1_nurH_79.wav,nurH,79,handwerk,critical,J,Fleischer,1
glen_subj_1_nurH_80.wav,nurH,80,recht,critical,J,Schreiber,1
glen_subj_1_nur_71.wav,nurLH,71,nat,critical,J,Franzose,1
glen_subj_1_nur_72.wav,nurLH,72,kunst,critical,J,Fotograf,1
glen_subj_1_nur_73.wav,nurLH,73,geschäft,critical,J,Verkäufer,1
glen_subj_1_nur_75.wav,nurLH,75,familie,critical,J,Mutter ,1
glen_subj_1_nur_74.wav,nurLH,74,recht,critical,J,Zeuge,1
glen_subj_1_H_76.wav,H,76,bau,critical,J,Schneider,2
glen_subj_1_H_77.wav,H,77,handwerk,critical,J,Kunde,2
glen_subj_1_H_78.wav,H,78,recht,critical,J,Anwalt,2
glen_subj_1_H_79.wav,H,79,handwerk,critical,J,Fleischer,2
glen_subj_1_H_80.wav,H,80,recht,critical,J,Schreiber,2
glen_subj_1_LH_61.wav,LH,61,schule,critical,J,Lehrer,2
glen_subj_1_LH_62.wav,LH,62,kirche,critical,J,Prediger,2
glen_subj_1_LH_63.wav,LH,63,schule,critical,J,Mädchen,2
glen_subj_1_LH_64.wav,LH,64,film,critical,J,Kabelträger,2
glen_subj_1_LH_65.wav,LH,65,film,critical,J,Produzent,2
glen_subj_1_nurH_71.wav,nurH,71,nat,critical,J,Franzose,2
glen_subj_1_nurH_72.wav,nurH,72,kunst,critical,J,Fotograf,2
glen_subj_1_nurH_73.wav,nurH,73,geschäft,critical,J,Verkäufer,2
glen_subj_1_nurH_74.wav,nurH,74,recht,critical,J,Zeuge,2
glen_subj_1_nurH_75.wav,nurH,75,familie,critical,J,Mutter,2
glen_subj_1_nur_66.wav,nurLH,66,bau,critical,J,Ingenieur,2
glen_subj_1_nur_67.wav,nurLH,67,musik,critical,J,Dirigent,2
glen_subj_1_nur_68.wav,nurLH,68,musik,critical,J,Schlagzeuger,2
glen_subj_1_nur_69.wav,nurLH,69,arzt,critical,J,Ärztin,2
glen_subj_1_nur_70.wav,nurLH,70,musik,critical,J,Sänger,2
glen_subj_1_H_71.wav,H,71,nat,critical,J,Franzose,3
glen_subj_1_H_72.wav,H,72,kunst,critical,J,Fotograf,3
glen_subj_1_H_73.wav,H,73,geschäft,critical,J,Verkäufer,3
glen_subj_1_H_74.wav,H,74,recht,critical,J,Zeuge,3
glen_subj_1_H_75.wav,H,75,familie,critical,J,Mutter,3
glen_subj_1_LH_76.wav,LH,76,bau,critical,J,Schneider,3
glen_subj_1_LH_77.wav,LH,77,handwerk,critical,J,Kunde,3
glen_subj_1_LH_78.wav,LH,78,recht,critical,J,Anwalt,3
glen_subj_1_LH_79.wav,LH,79,handwerk,critical,J,Fleischer,3
glen_subj_1_LH_80.wav,LH,80,recht,critical,J,Schreiber,3
glen_subj_1_nurH_66.wav,nurH,66,bau,critical,J,Ingenieur,3
glen_subj_1_nurH_67.wav,nurH,67,musik,critical,J,Dirigent,3
glen_subj_1_nurH_68.wav,nurH,68,musik,critical,J,Schlagzeuger,3
glen_subj_1_nurH_69.wav,nurH,69,arzt,critical,J,Ärztin,3
glen_subj_1_nurH_70.wav,nurH,70,musik,critical,J,Sänger,3
glen_subj_1_nur_61.wav,nurLH,61,schule,critical,J,Lehrer,3
glen_subj_1_nur_62.wav,nurLH,62,kirche,critical,J,Prediger,3
glen_subj_1_nur_63.wav,nurLH,63,schule,critical,J,Mädchen,3
glen_subj_1_nur_64.wav,nurLH,64,film,critical,J,Kabelträger,3
glen_subj_1_nur_65.wav,nurLH,65,film,critical,J,Produzent,3
glen_subj_1_H_66.wav,H,66,bau,critical,J,Ingenieur,4
glen_subj_1_H_67.wav,H,67,musik,critical,J,Dirigent,4
glen_subj_1_H_68.wav,H,68,musik,critical,J,Schlagzeuger,4
glen_subj_1_H_69.wav,H,69,arzt,critical,J,Ärztin,4
glen_subj_1_H_70.wav,H,70,musik,critical,J,Sänger,4
glen_subj_1_LH_71.wav,LH,71,nat,critical,J,Franzose,4
glen_subj_1_LH_72.wav,LH,72,kunst,critical,J,Fotograf,4
glen_subj_1_LH_73.wav,LH,73,geschäft,critical,J,Verkäufer,4
glen_subj_1_LH_74.wav,LH,74,recht,critical,J,Zeuge,4
glen_subj_1_LH_75.wav,LH,75,familie,critical,J,Mutter,4
glen_subj_1_nurH_61.wav,nurH,61,schule,critical,J,Lehrer,4
glen_subj_1_nurH_62.wav,nurH,62,kirche,critical,J,Prediger,4
glen_subj_1_nurH_63.wav,nurH,63,schule,critical,J,Mädchen,4
glen_subj_1_nurH_64.wav,nurH,64,film,critical,J,Kabelträger,4
glen_subj_1_nurH_65.wav,nurH,65,film,critical,J,Produzent,4
glen_subj_1_nur_76.wav,nurLH,76,bau,critical,J,Schneider,4
glen_subj_1_nur_77.wav,nurLH,77,handwerk,critical,J,Kunde,4
glen_subj_1_nur_78.wav,nurLH,78,recht,critical,J,Anwalt,4
glen_subj_1_nur_79.wav,nurLH,79,handwerk,critical,J,Fleischer,4
glen_subj_1_nur_80.wav,nurLH,80,recht,critical,J,Schreiber,4
glen_subj_1_H_81.wav,H,81,arzt,critical,J,Doktor,5
glen_subj_1_H_82.wav,H,82,uni,critical,J,Studentin,5
glen_subj_1_H_83.wav,H,83,nat,critical,J,Spanierin,5
glen_subj_1_H_84.wav,H,84,krimi,critical,J,Detektiv,5
glen_subj_1_H_85.wav,H,85,bau,critical,J,Maschinist,5
glen_subj_1_LH_86.wav,LH,86,nat,critical,J,Schwedin,5
glen_subj_1_LH_87.wav,LH,87,sport,critical,J,Athletin,5
glen_subj_1_LH_88.wav,LH,88,sport,critical,J,Schwimmer,5
glen_subj_1_LH_89.wav,LH,89,kunst,critical,J,Kritikerin,5
glen_subj_1_LH_90.wav,LH,90,natur,critical,J,Chemikerin,5
glen_subj_1_nurH_100.wav,nurH,100,nat,critical,J,Dänin,5
glen_subj_1_nurH_96.wav,nurH,96,kunst,critical,J,Journalist,5
glen_subj_1_nurH_97.wav,nurH,97,wirtschaft,critical,J,Designer,5
glen_subj_1_nurH_98.wav,nurH,98,wirtschaft,critical,J,Betriebswirt,5
glen_subj_1_nurH_99.wav,nurH,99,post,critical,J,Gehilfe,5
glen_subj_1_nur_91.wav,nurLH,91,tiere,critical,J,Falke,5
glen_subj_1_nur_92.wav,nurLH,92,handwerk,critical,J,Schuster,5
glen_subj_1_nur_93.wav,nurLH,93,kinder,critical,J,Erzieherin,5
glen_subj_1_nur_94.wav,nurLH,94,natur,critical,J,Archäologe,5
glen_subj_1_nur_95.wav,nurLH,95,natur,critical,J,Philosoph,5
glen_subj_1_H_100.wav,H,100,nat,critical,J,Dänin,6
glen_subj_1_H_96.wav,H,96,kunst,critical,J,Journalist,6
glen_subj_1_H_97.wav,H,97,wirtschaft,critical,J,Designer,6
glen_subj_1_H_98.wav,H,98,wirtschaft,critical,J,Betriebswirt,6
glen_subj_1_H_99.wav,H,99,post,critical,J,Gehilfe,6
glen_subj_1_LH_81.wav,LH,81,arzt,critical,J,Doktor,6
glen_subj_1_LH_82.wav,LH,82,uni,critical,J,Studentin,6
glen_subj_1_LH_83.wav,LH,83,nat,critical,J,Spanierin,6
glen_subj_1_LH_84.wav,LH,84,krimi,critical,J,Detektiv,6
glen_subj_1_LH_85.wav,LH,85,bau,critical,J,Maschinist,6
glen_subj_1_nurH_91.wav,nurH,91,tiere,critical,J,Falke,6
glen_subj_1_nurH_92.wav,nurH,92,handwerk,critical,J,Schuster,6
glen_subj_1_nurH_93.wav,nurH,93,kinder,critical,J,Erzieherin,6
glen_subj_1_nurH_94.wav,nurH,94,natur,critical,J,Archäologe,6
glen_subj_1_nurH_95.wav,nurH,95,natur,critical,J,Philosoph,6
glen_subj_1_nur_86.wav,nurLH,86,nat,critical,J,Schwedin,6
glen_subj_1_nur_87.wav,nurLH,87,sport,critical,J,Athletin,6
glen_subj_1_nur_88.wav,nurLH,88,sport,critical,J,Schwimmer,6
glen_subj_1_nur_89.wav,nurLH,89,kunst,critical,J,Kritikerin,6
glen_subj_1_nur_90.wav,nurLH,90,natur,critical,J,Chemikerin,6
glen_subj_1_H_91.wav,H,91,tiere,critical,J,Falke,7
glen_subj_1_H_92.wav,H,92,handwerk,critical,J,Schuster,7
glen_subj_1_H_93.wav,H,93,kinder,critical,J,Erzieherin,7
glen_subj_1_H_94.wav,H,94,natur,critical,J,Archäologe,7
glen_subj_1_H_95.wav,H,95,natur,critical,J,Philosoph,7
glen_subj_1_LH_100.wav,LH,100,nat,critical,J,Dänin,7
glen_subj_1_LH_96.wav,LH,96,kunst,critical,J,Journalist,7
glen_subj_1_LH_97.wav,LH,97,wirtschaft,critical,J,Designer,7
glen_subj_1_LH_98.wav,LH,98,wirtschaft,critical,J,Betriebswirt,7
glen_subj_1_LH_99.wav,LH,99,post,critical,J,Gehilfe,7
glen_subj_1_nurH_86.wav,nurH,86,nat,critical,J,Schwedin,7
glen_subj_1_nurH_87.wav,nurH,87,sport,critical,J,Athletin,7
glen_subj_1_nurH_88.wav,nurH,88,sport,critical,J,Schwimmer,7
glen_subj_1_nurH_89.wav,nurH,89,kunst,critical,J,Kritikerin,7
glen_subj_1_nurH_90.wav,nurH,90,natur,critical,J,Chemikerin,7
glen_subj_1_nur_81.wav,nurLH,81,arzt,critical,J,Doktor,7
glen_subj_1_nur_82.wav,nurLH,82,uni,critical,J,Studentin,7
glen_subj_1_nur_83.wav,nurLH,83,nat,critical,J,Spanierin,7
glen_subj_1_nur_84.wav,nurLH,84,krimi,critical,J,Detektiv,7
glen_subj_1_nur_85.wav,nurLH,85,bau,critical,J,Maschinist,7
glen_subj_1_H_86.wav,H,86,nat,critical,J,Schwedin,8
glen_subj_1_H_87.wav,H,87,sport,critical,J,Athletin,8
glen_subj_1_H_88.wav,H,88,sport,critical,J,Schwimmer,8
glen_subj_1_H_89.wav,H,89,kunst,critical,J,Kritikerin,8
glen_subj_1_H_90.wav,H,90,natur,critical,J,Chemikerin,8
glen_subj_1_LH_91.wav,LH,91,tiere,critical,J,Falke,8
glen_subj_1_LH_92.wav,LH,92,handwerk,critical,J,Schuster,8
glen_subj_1_LH_93.wav,LH,93,kinder,critical,J,Erzieherin,8
glen_subj_1_LH_94.wav,LH,94,natur,critical,J,Archäologe,8
glen_subj_1_LH_95.wav,LH,95,natur,critical,J,Philosoph,8
glen_subj_1_nurH_81.wav,nurH,81,arzt,critical,J,Doktor,8
glen_subj_1_nurH_82.wav,nurH,82,uni,critical,J,Studentin,8
glen_subj_1_nurH_83.wav,nurH,83,nat,critical,J,Spanierin,8
glen_subj_1_nurH_84.wav,nurH,84,krimi,critical,J,Detektiv,8
glen_subj_1_nurH_85.wav,nurH,85,bau,critical,J,Maschinist,8
